architecture,mutation_score,execution_time,code_coverage,complexity,equivalent_rate,effectiveness
mvc,66.4,1757,93.1,18,6.7,medium
mvc,71.8,1831,89.8,17,7.3,low
event_driven,84.8,2859,90.3,24,9.8,high
event_driven,65.1,3360,87.4,16,5.0,medium
event_driven,61.5,2502,82.5,19,5.9,low
hexagonal,85.6,2392,91.3,20,2.5,medium
layered,85.8,1413,92.9,11,6.2,high
hexagonal,84.7,2527,95.5,15,1.3,high
event_driven,76.1,2965,82.1,22,4.1,high
mvc,70.8,2134,91.8,14,5.3,high
event_driven,65.5,3493,90.8,18,9.0,low
layered,72.7,920,94.8,8,5.0,medium
microservices,65.4,2873,81.4,25,8.3,low
event_driven,64.2,2715,89.9,22,7.3,high
microservices,75.3,2788,89.4,24,9.7,medium
microservices,55.6,3246,86.4,23,8.7,low
layered,72.6,832,88.5,9,3.1,low
mvc,65.5,2061,88.7,17,4.1,high
layered,69.5,1258,96.0,16,2.4,high
microservices,69.9,4028,85.0,20,10.9,low
microservices,73.1,3752,91.6,17,8.1,low
event_driven,70.4,3241,82.3,15,6.2,medium
hexagonal,88.3,1520,98.7,13,3.1,high
microservices,64.9,3738,90.9,28,11.5,low
hexagonal,88.6,1444,98.4,13,1.1,high
hexagonal,84.5,2754,96.6,20,3.3,medium
hexagonal,90.4,2429,91.7,12,3.2,medium
mvc,78.4,1701,91.9,17,3.5,high
layered,82.6,1114,91.7,11,3.9,medium
hexagonal,75.6,1464,95.1,18,3.6,medium
event_driven,76.4,2333,91.1,23,4.3,low
hexagonal,91.6,2434,95.5,17,3.6,high
layered,81.1,806,93.3,14,2.5,high
mvc,84.8,1366,89.5,14,6.7,low
event_driven,84.4,1970,79.5,15,8.9,high
mvc,80.5,1052,90.9,15,7.1,high
microservices,66.7,4599,90.5,20,7.9,low
mvc,71.5,2194,88.4,13,6.0,high
mvc,75.9,2173,86.3,12,3.9,high
layered,87.2,1197,92.9,7,5.5,medium
hexagonal,77.8,1890,98.6,19,2.6,high
microservices,65.1,3086,78.7,26,5.4,medium
event_driven,82.0,1986,86.2,17,9.6,medium
mvc,71.9,1705,89.7,12,4.3,medium
layered,81.0,1409,86.9,13,2.8,high
layered,74.8,1680,92.7,9,2.1,low
event_driven,72.2,2955,82.3,18,6.7,medium
mvc,78.9,1152,92.4,13,7.4,medium
hexagonal,83.0,2309,90.7,13,3.9,high
microservices,61.9,4944,75.3,26,9.7,low
mvc,80.2,1244,88.6,17,5.2,medium
microservices,64.4,4207,86.3,22,9.6,medium
layered,73.3,1584,90.0,10,6.8,low
hexagonal,84.0,2352,91.8,21,4.1,high
microservices,65.2,3748,85.8,19,9.6,low
hexagonal,94.6,2727,88.8,18,2.5,medium
hexagonal,93.6,2575,95.1,20,1.6,high
microservices,62.5,4269,88.7,27,8.9,low
event_driven,60.7,3166,80.8,16,5.1,medium
layered,76.5,1077,85.0,14,5.2,high
mvc,84.3,2032,90.7,18,7.8,medium
microservices,64.0,3154,83.7,22,5.7,low
mvc,81.4,1736,89.7,8,7.6,medium
event_driven,67.7,3177,80.0,21,9.7,low
mvc,79.0,2023,89.8,16,6.6,high
layered,73.0,882,85.2,11,7.0,high
layered,87.9,1329,95.7,15,2.1,medium
mvc,72.0,1400,90.0,17,4.6,medium
event_driven,82.9,3349,91.5,23,9.8,medium
microservices,56.5,3869,83.6,23,6.0,medium
microservices,70.5,4510,80.6,20,10.7,low
mvc,76.7,1674,86.0,9,4.8,medium
hexagonal,92.0,1799,96.4,15,4.6,high
microservices,57.5,2584,85.2,24,5.3,low
microservices,72.0,4152,76.5,23,10.6,low
mvc,81.6,1598,90.6,13,4.4,medium
event_driven,73.3,1817,88.4,18,8.3,medium
layered,74.8,1388,87.5,8,2.4,medium
event_driven,81.7,2299,89.4,22,8.6,medium
hexagonal,77.5,1915,97.8,19,4.6,high
hexagonal,86.0,2257,88.9,15,5.0,medium
event_driven,64.4,2985,90.9,21,9.5,high
microservices,68.4,4095,76.4,25,9.6,medium
mvc,74.9,1097,82.5,12,4.6,high
layered,84.2,1067,93.7,7,6.4,medium
event_driven,63.8,2623,89.0,23,4.5,high
mvc,81.5,1086,84.0,11,6.7,medium
event_driven,80.0,3201,89.8,17,5.6,high
hexagonal,83.8,2078,90.2,18,2.3,medium
hexagonal,83.3,2295,93.5,18,2.2,low
hexagonal,78.5,2491,93.1,19,3.5,medium
hexagonal,86.6,1838,96.4,17,3.1,high
mvc,73.5,1798,86.5,10,7.6,high
event_driven,66.9,1968,86.9,20,7.6,low
microservices,62.2,4539,87.4,20,9.2,low
microservices,77.7,2768,76.6,18,6.3,medium
event_driven,79.1,3709,90.3,14,4.4,medium
event_driven,73.1,3062,90.8,22,9.9,low
microservices,79.4,2840,80.5,27,6.4,medium
event_driven,74.2,2670,93.4,16,5.6,medium
microservices,63.5,4423,91.2,21,10.4,high
hexagonal,85.5,2477,97.1,13,4.9,high
hexagonal,90.0,2028,93.9,15,4.2,high
layered,68.5,999,92.1,11,3.1,medium
hexagonal,76.6,1758,97.2,17,3.9,high
layered,84.1,1530,90.9,16,3.9,medium
mvc,84.6,1292,88.6,12,7.6,medium
mvc,75.7,1915,84.2,10,5.4,medium
microservices,75.2,3548,88.0,27,5.1,medium
event_driven,85.0,2910,85.8,15,5.9,medium
layered,73.0,903,93.6,15,4.0,medium
event_driven,80.8,3765,80.1,22,6.2,medium
event_driven,83.3,2348,88.5,17,6.2,low
mvc,73.3,1119,87.9,12,7.8,high
layered,72.4,1617,90.1,9,6.0,high
microservices,62.5,4307,75.2,24,9.8,high
mvc,71.5,1962,89.4,16,7.6,high
microservices,74.8,3919,87.9,18,11.0,low
event_driven,78.7,2391,78.9,23,9.7,medium
event_driven,79.6,2719,80.0,23,6.6,high
microservices,58.8,3325,81.5,26,8.5,low
event_driven,77.3,3658,90.6,16,7.5,high
layered,71.5,1758,90.7,7,3.2,medium
layered,83.3,928,90.2,11,3.3,medium
event_driven,84.0,2205,89.0,15,7.9,high
microservices,71.1,3551,91.9,21,11.1,low
hexagonal,92.9,2584,90.8,18,3.2,high
layered,76.6,1380,92.2,11,4.2,high
event_driven,62.9,3350,91.2,18,8.9,high
event_driven,84.1,3371,92.7,24,9.2,high
hexagonal,80.7,2683,93.4,13,4.4,high
layered,82.0,1567,86.8,12,5.7,high
event_driven,76.9,2320,93.9,14,6.4,medium
event_driven,60.2,3191,91.1,24,6.5,medium
hexagonal,89.7,1487,89.5,14,2.3,medium
microservices,61.1,3440,88.9,21,5.8,low
hexagonal,89.7,2605,98.7,13,2.5,high
mvc,65.1,1541,89.1,11,4.2,medium
event_driven,75.9,3469,88.9,15,8.2,low
mvc,71.5,2164,86.9,13,7.9,medium
microservices,73.8,4522,76.1,17,11.1,medium
microservices,55.2,3764,81.3,23,9.7,low
layered,72.6,1089,85.9,8,2.5,high
mvc,80.6,1616,83.3,13,7.7,high
event_driven,80.2,2344,79.0,21,7.5,high
mvc,81.5,2091,85.6,12,3.7,low
mvc,74.8,1952,83.1,10,6.5,high
mvc,76.0,1112,93.9,17,5.3,high
mvc,70.8,1149,90.3,15,7.7,medium
microservices,55.2,3920,76.8,28,7.0,low
event_driven,84.8,3351,81.8,22,7.5,medium
layered,76.3,1430,87.1,13,4.5,high
event_driven,61.1,2722,80.7,20,8.9,medium
mvc,74.0,1274,86.1,13,5.1,high
layered,70.0,1572,94.4,12,2.6,low
hexagonal,79.8,1601,92.7,18,2.0,high
layered,85.5,1115,92.2,10,6.6,high
hexagonal,82.3,1961,94.3,14,3.2,high
layered,80.7,1165,89.1,8,3.3,low
layered,74.3,1648,92.9,9,3.5,high
hexagonal,93.0,2023,89.0,19,4.4,high
microservices,70.1,4684,78.2,25,10.1,low
event_driven,62.3,3643,92.4,19,8.2,medium
hexagonal,81.4,2053,90.9,14,1.4,high
hexagonal,91.7,1915,98.4,22,2.8,high
microservices,72.7,3596,80.0,24,10.7,low
hexagonal,88.9,1592,94.8,18,2.0,medium
layered,76.0,1019,96.0,11,2.5,high
layered,72.0,824,87.7,11,6.2,high
hexagonal,94.1,2526,91.2,15,3.9,high
hexagonal,77.8,2507,88.3,18,2.5,medium
event_driven,82.1,1869,87.9,16,5.8,medium
layered,88.0,1636,95.7,15,6.2,high
layered,76.4,1548,91.0,12,3.1,high
hexagonal,78.6,2753,92.8,21,1.2,high
layered,72.3,932,95.3,12,4.4,medium
mvc,80.5,1681,83.0,9,3.8,medium
microservices,79.8,3065,86.6,26,9.6,low
microservices,77.7,2724,84.8,22,10.1,low
hexagonal,92.1,2261,93.6,17,3.2,medium
microservices,72.1,3143,89.0,28,9.5,medium
event_driven,63.2,3362,82.3,23,8.6,high
layered,78.8,1283,89.8,13,3.3,medium
layered,84.3,1099,92.3,15,2.7,high
hexagonal,90.8,2306,88.7,13,3.7,high
microservices,63.1,3120,79.4,19,10.3,low
mvc,78.4,1892,93.4,12,6.7,high
hexagonal,80.0,2298,97.6,18,1.4,medium
microservices,72.8,3496,76.3,18,6.7,low
layered,80.7,1135,94.0,14,5.4,high
microservices,65.5,3711,76.3,19,6.7,low
layered,86.1,1346,94.2,12,2.7,high
event_driven,77.3,3496,88.5,17,7.1,medium
mvc,67.0,1760,92.5,12,6.5,low
mvc,72.3,1949,82.2,13,5.3,medium
mvc,70.9,1897,84.1,9,5.7,low
mvc,78.2,1031,82.2,16,4.2,high
event_driven,82.0,2784,82.9,19,4.5,high
mvc,79.9,1258,87.0,11,4.9,medium
microservices,69.5,3938,82.6,21,10.4,low
microservices,64.7,4741,80.6,25,6.0,low
event_driven,61.0,1921,90.6,19,7.8,medium
event_driven,82.1,2786,84.1,19,4.6,medium
event_driven,73.2,2276,85.9,15,10.0,low
microservices,66.9,2616,76.3,27,11.3,low
microservices,78.3,2579,82.0,25,10.4,low
hexagonal,86.3,2289,94.9,21,3.5,high
layered,77.1,1601,92.3,16,5.0,low
hexagonal,76.4,2019,91.3,15,1.2,high
event_driven,61.3,2518,78.2,15,8.9,low
microservices,68.6,4105,76.0,16,10.9,low
layered,86.3,1671,88.3,12,5.0,high
event_driven,67.2,2335,91.7,24,8.1,high
microservices,74.7,2685,91.8,22,7.8,medium
hexagonal,82.0,1459,97.6,16,5.0,high
mvc,68.5,1456,90.4,13,7.2,medium
event_driven,62.1,1862,90.2,17,5.6,medium
hexagonal,78.0,1487,89.1,21,2.4,medium
microservices,79.1,4922,80.0,24,8.4,low
event_driven,71.4,2520,86.0,20,6.2,medium
mvc,69.8,2095,83.7,13,4.3,high
microservices,58.0,3267,81.9,22,11.3,low
event_driven,65.9,3765,80.7,23,4.5,low
layered,68.5,1537,88.7,15,6.0,medium
event_driven,65.0,2928,82.9,20,6.8,medium
hexagonal,83.8,1759,93.3,14,3.2,low
microservices,69.8,2989,76.8,20,11.6,medium
hexagonal,78.0,2367,92.5,20,4.7,medium
microservices,76.2,2731,87.3,18,6.9,low
layered,83.3,1321,91.9,9,2.4,high
hexagonal,78.2,1922,91.1,16,2.4,high
layered,68.5,993,88.6,15,6.8,high
microservices,57.7,2513,80.2,20,6.9,medium
microservices,59.7,3622,84.4,21,5.2,medium
microservices,68.3,4095,75.9,21,10.0,high
microservices,68.0,2791,78.5,23,5.6,medium
layered,84.6,1419,94.5,12,5.5,high
hexagonal,84.1,1555,98.0,18,1.1,high
hexagonal,81.1,2147,93.5,14,4.8,high
mvc,72.6,1380,90.6,16,7.4,high
mvc,72.4,1532,93.4,17,3.5,medium
hexagonal,79.0,2113,93.5,12,1.5,high
event_driven,67.4,3799,85.2,17,8.9,medium
hexagonal,78.3,2787,96.1,15,2.3,medium
microservices,57.3,3995,80.5,21,7.0,medium
event_driven,61.8,2566,89.7,15,5.9,low
layered,77.7,1014,89.4,7,3.9,low
event_driven,77.5,3695,87.0,20,5.1,low
mvc,82.6,2037,85.3,16,5.1,low
event_driven,78.7,2300,85.4,22,4.8,high
microservices,67.1,3720,75.1,23,5.1,medium
microservices,75.2,4308,81.7,26,10.2,low
mvc,79.1,1325,85.0,9,4.0,high
event_driven,82.6,2687,80.1,23,9.0,medium
microservices,55.8,4822,80.3,28,9.1,low
hexagonal,93.8,1833,92.1,20,4.3,medium
layered,68.4,1729,94.7,14,3.5,high
layered,76.0,1096,86.4,10,6.7,medium
layered,75.6,829,94.4,8,3.1,medium
mvc,74.4,1529,84.2,9,7.7,medium
layered,72.2,1127,93.4,10,5.8,medium
layered,68.4,952,86.4,13,4.8,high
hexagonal,76.1,2103,90.6,22,2.5,high
layered,73.1,1509,85.0,15,4.7,medium
layered,85.9,1544,90.2,9,3.2,medium
microservices,76.8,2705,82.6,24,5.5,low
microservices,60.5,2865,79.4,27,9.1,medium
microservices,74.0,2734,81.4,23,5.4,high
hexagonal,78.1,1631,91.5,19,2.4,low
event_driven,83.3,2064,91.8,20,6.2,medium
hexagonal,81.9,1491,94.0,21,4.4,medium
event_driven,77.9,3638,91.5,17,4.1,medium
hexagonal,93.1,1889,96.0,20,4.3,high
layered,76.4,1384,90.8,15,3.0,medium
mvc,78.6,1865,89.9,16,6.1,low
microservices,61.8,4981,83.3,20,11.6,medium
mvc,66.8,2154,92.0,14,7.8,low
hexagonal,90.4,2409,95.1,19,3.4,high
hexagonal,90.1,1668,91.9,20,4.5,high
event_driven,84.2,2242,87.0,23,4.8,low
hexagonal,82.7,2262,90.7,21,1.6,high
hexagonal,89.5,2319,98.0,21,2.3,high
hexagonal,88.2,2409,94.7,20,3.3,medium
event_driven,63.4,2567,81.0,20,8.2,medium
microservices,71.2,2611,91.7,24,7.8,low
event_driven,62.6,2948,89.6,16,7.1,high
mvc,78.2,2120,87.1,13,6.2,low
microservices,74.3,2513,84.4,27,7.8,low
hexagonal,85.1,1642,90.7,16,2.8,high
hexagonal,82.1,1471,93.4,21,3.6,high
mvc,74.6,1482,90.2,13,7.5,high
microservices,79.1,2793,92.0,22,6.7,low
layered,73.3,1733,94.7,15,3.8,high
event_driven,77.6,1802,85.6,15,5.4,medium
microservices,67.0,4674,80.7,27,5.1,low
event_driven,81.6,2289,85.5,18,4.9,low
microservices,78.0,4229,84.2,25,7.5,low
layered,73.4,1120,90.9,7,3.2,medium
layered,85.2,1049,87.1,10,4.1,high
hexagonal,86.7,1639,94.9,18,4.4,high
mvc,78.3,1985,93.8,13,3.2,medium
event_driven,69.8,3789,93.4,14,7.6,low
microservices,79.6,3110,78.0,18,8.9,low
hexagonal,80.1,1423,96.7,15,3.9,high
hexagonal,82.6,2138,98.6,20,4.2,high
mvc,74.8,1178,88.5,11,5.8,medium
layered,85.6,1747,85.9,11,2.3,medium
hexagonal,83.7,2725,90.4,17,2.4,high
layered,82.1,1235,93.1,16,3.4,medium
event_driven,80.3,3212,82.8,20,4.5,high
mvc,69.2,1165,85.1,11,3.0,medium
mvc,82.4,1680,86.8,9,6.2,high
layered,85.0,1622,86.2,16,5.2,medium
mvc,76.5,1688,90.5,12,3.6,high
hexagonal,85.7,2586,92.7,21,3.9,medium
microservices,61.2,3365,79.7,27,10.1,medium
layered,70.1,1353,88.0,12,5.6,high
event_driven,64.1,3706,86.4,22,8.3,high
event_driven,64.1,2593,82.9,21,5.4,medium
hexagonal,88.6,2734,89.6,18,4.1,high
hexagonal,76.3,2487,93.0,15,1.2,high
hexagonal,77.9,1676,94.6,20,3.6,high
event_driven,62.9,2411,80.9,21,7.1,medium
mvc,81.1,1896,86.1,9,7.8,high
layered,87.4,979,95.6,9,2.5,high
hexagonal,75.8,2707,93.7,22,3.2,high
layered,72.8,1196,92.4,9,3.6,medium
mvc,69.0,1462,87.8,10,5.9,medium
microservices,59.5,3843,84.0,25,6.6,medium
event_driven,64.5,2438,81.5,23,8.7,high
event_driven,69.0,2889,85.8,23,7.0,medium
layered,73.3,1047,91.2,9,4.9,medium
event_driven,70.4,3204,79.3,19,7.7,medium
mvc,76.6,1568,88.4,12,6.7,high
hexagonal,94.5,2095,93.5,21,3.1,medium
microservices,68.6,3735,91.0,26,8.3,medium
microservices,75.2,3634,83.7,21,5.4,medium
event_driven,67.7,3283,89.9,15,8.2,low
event_driven,70.7,2224,82.3,22,6.0,medium
event_driven,65.5,2853,78.0,23,5.2,high
layered,84.7,1504,91.7,16,5.3,high
hexagonal,82.2,1908,90.0,14,4.8,high
layered,85.8,887,89.6,6,3.1,high
mvc,80.0,2042,90.7,18,6.0,high
event_driven,80.9,2456,79.5,16,6.1,medium
layered,82.1,864,89.5,11,4.1,high
hexagonal,76.3,2490,92.0,16,3.3,high
event_driven,63.4,3347,90.1,15,10.0,high
hexagonal,94.5,1951,96.7,15,4.8,medium
hexagonal,85.5,1839,89.9,21,2.4,high
hexagonal,81.8,1866,89.8,17,1.5,high
layered,87.9,1450,89.8,11,2.6,high
layered,82.8,1352,89.7,6,2.4,medium
mvc,78.4,1323,82.5,16,5.4,medium
mvc,70.7,1959,89.3,12,6.2,medium
mvc,65.9,1955,85.5,12,3.7,medium
microservices,68.9,2835,79.1,18,9.5,low
mvc,74.1,1386,84.3,15,5.9,high
hexagonal,81.2,1432,98.4,17,4.9,high
microservices,57.1,4753,90.4,28,9.0,medium
microservices,57.1,2886,87.1,24,10.2,medium
hexagonal,84.5,2040,94.7,17,2.3,high
microservices,75.4,3168,81.7,20,7.8,low
hexagonal,92.9,2030,96.9,19,2.3,high
layered,84.6,887,94.7,8,4.3,medium
mvc,84.5,1630,85.4,9,4.0,high
mvc,80.7,1292,83.5,14,3.3,medium
layered,74.2,1699,93.8,15,6.5,high
layered,72.6,1705,94.5,7,3.2,medium
layered,75.6,806,88.9,14,6.3,low
hexagonal,83.8,1975,95.4,14,2.8,high
event_driven,71.6,2365,91.5,17,7.3,high
microservices,75.7,3788,76.5,24,6.3,high
layered,68.5,1443,86.5,11,2.3,high
microservices,56.5,4871,90.0,27,9.4,medium
hexagonal,91.7,2637,88.4,15,4.1,high
layered,70.2,1427,93.7,10,2.3,high
microservices,57.4,3820,75.7,19,11.1,low
hexagonal,76.6,2325,91.4,18,2.7,medium
event_driven,72.3,3345,81.1,23,8.6,high
microservices,62.8,2794,90.6,20,9.3,medium
microservices,77.8,2938,90.0,18,11.4,low
mvc,68.5,1063,90.9,13,6.7,medium
layered,80.7,1064,90.4,15,6.2,high
event_driven,83.8,1803,88.5,22,8.4,high
hexagonal,85.1,2470,91.1,22,3.7,high
layered,71.1,1761,85.9,8,5.0,medium
microservices,64.5,2847,80.1,22,5.4,medium
layered,76.7,829,88.7,13,4.0,high
mvc,78.5,1327,89.9,13,5.2,high
event_driven,82.5,2159,90.9,24,9.7,high
layered,81.0,1581,92.2,14,6.7,high
mvc,80.7,2040,88.3,13,7.8,high
event_driven,83.7,3384,93.4,20,5.0,low
layered,71.1,1730,94.5,16,6.1,medium
mvc,75.2,1985,85.4,11,5.9,low
mvc,71.1,1591,83.2,17,3.7,medium
layered,87.8,1440,91.1,13,6.2,medium
mvc,84.9,1354,93.7,15,4.4,medium
layered,81.6,1337,87.9,12,2.6,high
event_driven,78.8,2979,84.1,24,5.9,high
event_driven,78.0,2893,93.8,15,9.0,low
layered,78.8,1548,85.6,12,4.5,medium
hexagonal,91.6,2375,89.5,19,2.8,high
layered,77.3,928,91.8,6,4.0,medium
mvc,79.1,1545,90.2,17,6.9,medium
microservices,71.7,4411,82.0,26,6.6,low
microservices,79.1,3576,75.2,19,8.6,medium
microservices,63.0,3254,77.4,24,6.5,medium
hexagonal,79.1,2387,91.5,15,4.7,medium
event_driven,67.7,2823,81.3,22,7.2,medium
